section_no,question_no,question_text,answer1_text,answer2_text,answer3_text,answer4_text,correct_answer_no,recommendation_text
1,1,How much does a typical college student spend on textbooks?,$ 415,$ 500,$ 1000,$250,1,The National Association of College Stores reports that students spent an average of US $415 each on required course materials during the 2018-2019 school year. The College Board says students should budget $1240 annually for books and supplies.Several factors make course materials so expensive. There’s not much competition in the textbook industry. Just five publishers control about 80% of the textbook market and two of those announced plans in May 2019 to merge by early 2020. Students have little choice in the materials they purchase since content is usually assigned by professors.
1,2,What's the form you have to fill out to apply for college financial aid from the federal government?,Government College Aid Form (GCAF),Free Allpication for Federal Student Aid (FAFSA),Federal Student Loan Application (FSLA),Financial Aid Application (FAA),2,FAFSA is the starting point not only for government-sponsored loans and grants but also for state aid and merit awards from colleges and universities. You can fill out the form online at www.fafsa.ed.gov.
1,3,Is it worthwhile for a higher-income family to submit financial aid forms?,Yes,No,A conclusion cannot be made from the given information,Maybe,1,Absolutely. Even if your family isn't likely to receive need-based aid submitting student aid forms often opens doors to finding merit-based aid. Several states offer sizable scholarships to residents who attend state colleges and have good high school grades or scores-regardless of financial need.
1,4,To whom does the "you" refer to on the FAFSA?,Parent,Family,Student,School,3,The "you" referred to throughout the form refers to the student only. That can get confusing because the form asks for both the student's and parent's information as well as that of the student's spouse (if applicable). Parents entering their own information-say their Social Security number-instead of their student's will stall the application.
1,5,You won't be eligible for need-based aid if you saved money in a 529 college-savings plan.,True,A conclusion cannot be made from the given information,It depends,False,4,Money in 529 accounts factors into the financial aid formula but it doesn't disqualify your child. The accounts are considered parental assets. Up to 5.6% of the savings in the accounts are factored into the amount parents are expected to pay toward a child's education. If grandparents own the 529 then the assets don't count in the financial aid formula.
1,6,If you receive merit-based aid or a scholarship and don't keep the money you saved in a 529 plan what are your options for using that money tax and penalty-free?,Transfer the 529 to another family member,Use the money for grad school,Either,There are no options,3,Money in a 529 account must be used for qualified college expenses. Otherwise withdrawals will be subject to a penalty and you'll have to pay taxes on the earnings portion of the withdrawal. To avoid taxes and penalties you could name another family member as beneficiary of the plan or let your child use the money for graduate school.
1,7,Which loan usually is the better deal?,Federal student loan,Student loan from a bank,Student loan from a private lender,Student loan from a freind,1,Federal student loans have a fixed rate offer flexible repayment terms and in some cases a government subsidy for part of the interest. Private-loan interest rates which are variable depend on the prime rate or other benchmarks as well as the borrower's credit rating. So it's best to max out the federal options first.
1,8,If you must borrow money for college which federal loan offers the best deal?,Perkins loan,PLUS loan for parents,Subsidized Stafford loan,Unsubsidized Stafford loan,3,The best option is a subsidized Stafford loan which has a 4.66% for the 2014-15 school year. This is lower than an unsubsidized Stafford loan or a PLUS loan for parents. A Perkins loan has a fixed 5% rate and is available to only the neediest students.
1,9,Under what circumstances can borrowers postpone repayment of their federal student loans?,If they can't find a full time job,If they go to grad school,If they are experienceing economic hardship,All of the above,4,You can defer payment on your federal loans if you find yourself in any of these circumstances. If you are employed but struggling you can lower payments by stretching out the loan term. These are more of the advantages of federal student loans.
1,10,You can write off student-loan interest on your federal tax return only if you itemize deductions.,True,False,A conclusion cannot be made from the given information,It depends,2,You don't have to itemize to take advantage of this deduction. You can write off up to $2500 of student loan interest paid during the year assuming you are not being claimed as a dependent on your parents' tax return. This includes interest on private loans and loans taken out by parents. However the right to claim this deduction phases out at higher income levels.
